definiendum,,tenses,sanskrit,english1,english2,english-others,definition-tibetan,definition-english,divisions-tibetan,divisions-english,synonyms-tibetan,synonyms-english,comments,example-tibetan1,example-tibetan2,example-tibetan3,example-tibetan4,example-tibetan5,example-tibetan6,example-english1,example-english2,example-english3,example-english4,example-english5,example-english6
ka 'khor ba ,ཀ་འཁོར་བ་,,,"[beginning of alphabet-cycle]; beginningless cyclic existence; cycling from the beginning; cycling from the first letter of the alphabet, ka",,,,,,,,,,,,,,,,,,,,,
ka dag; ka nas dag pa ,ཀ་དག༏་ཀ་ནས་དག་པ་,,,"[beginning-pure]; essential purity; pure from the beginning; pure from ka, the first letter of the alphabet",,,,,,,,,"Comment: In the Great Completeness (rdzogs chen) in N#ying-ma, essential purity (ka dag) is paired with breakthrough (khregs chod; literally, ""breaking through the hard"") while spontaneity (lhun grub) is paired with leap-over (thod rgal) in ka dag khregs chod lhun grub thod rgal.",,,,,,,,,,,,
ka ba ,ཀ་བ་,,,pillar; column; pole; post,,,mtshan nyid/  gdung 'degs don beyd nus pa ,Def.: That which can perform the function of supporting a cross-piece/rafter.,,,,,,,,,,,,,,,,,
ka bum; ka ba dang bum pa ,ཀ་བུམ༏་ཀ་བ་དང་བུམ་པ་,,,"pillar and pot, pillar-and-pot",,,,,,,,,"Comment: Although pillar-and-pot exists, there is nothing that is both a pillar and a pot; hence, pillar-and-pot is an object of knowledge the being of which does not occur.",ka bum gnyis chos can/ yin pa mi srid pa'i shes bya yin par thal/,,,,,,"It follows that the subject, the duo, a pillar and a pot, is an object of knowledge the being of which does not occur.",,,,,
ka bum gnyis ,ཀ་བུམ་གཉིས་,,,the two—pillar and pot,,,,,,,,,Comment: See ka bum.,,,,,,,,,,,,
ka ma la shI la ,ཀ་མ་ལ་ཤཱི་ལ་,,kamalaśīla,Kamalaśīla,,,,,,,,,Comment: The Tibetan translation of Kamalaśīla is padma'i ngang tshul (One Having the Nature of a Lotus).,,,,,,,,,,,,
kA ya ,ཀཱ་ཡ་,,kāya,body [transliteration of the Sanskrit kāya],,,,,,,,,,,,,,,,,,,,,
kA la tsa kra ,ཀཱ་ལ་ཙ་ཀྲ་,,kālacakra,Kālacakra [transliteration of the Sanskrit]; Wheel of Time,,,,,,,,,"Comment: There are outer (phyi), inner (nang), and alternative (gzhan) Kālacakras, these being the cosmology, the structure of mind and body, and the path-structure, respectively.",,,,,,,,,,,,
ka'i nye ba'i nyon mongs pa ,ཀའི་ཉེ་བའི་ཉོན་མོངས་པ་,,{L}upakleśa,secondary afflictive emotions,,,,,,,,,Comment: For divisions see nye nyon.,,,,,,,,,,,,
kar sa pa na ,ཀར་ས་པ་ན་,,kārṣapaṇa,kārṣapaṇa coin,,,,,,,,,"Comment: Even though [pieces from a Bodhisattva's body] the size of a kārṣapaṇa coin are cut, only a discrimination of bliss is maintained."" (TT, 143)""",,,,,,,,,,,,
